Produto,Preco,Site,Dia,Mes,Ano
"Lápis Preto Tabuada, Faber-Castell","R$8
26",Amazon,3,8,2023
Grafite 0.7MM HB TB C/12 Minas Leo & Leo,"R$1
15",Amazon,3,8,2023
Grafite 2.0 HB com 8 unidades - Leo&Leo,"R$1
38",Amazon,3,8,2023
Lápis Grafite HB com Borracha Good Vibes Jocar Office Coral,"R$1
95",Amazon,3,8,2023
Lápis Grafite HB com Borracha Good Vibes Jocar Office Rosa,"R$1
99",Amazon,3,8,2023
"Lápis Grafite Triangular Nº2B, Faber-Castell, 2001B, Ecolápis, Linha Grip, Cinza, 12 Unidades","R$13
53",Amazon,3,8,2023
"Grafite 0.9mm Hb 12 Minas Bigtree - Caixa com 1 Unidade, Sertic, 189.1100, Multicor","R$9
54",Amazon,3,8,2023
"Grafite Hb 0.5mm Blister C/2 Tubos Blister Leo&leo Leonora, Preto","R$2
80",Amazon,3,8,2023
LAPIS GRAFITE 6B FABER CASTELL,"R$8
90",Amazon,3,8,2023
"Lápis Preto Nº 2HB Redondo, CIS, 4 Unidades","R$3
20",Amazon,3,8,2023
"Lápis Triangular 2B, Faber-Castell, EcoLápis Eco Grip 2001, SM/2001WAP, Preto, 3 Unidades","R$7
10",Amazon,3,8,2023
Lápis Grafite Sextavado Faber-Castell 9000 2H - Ref. 90002H,"R$8
60",Amazon,3,8,2023
Lápis Preto 4B Castell 9000 Faber Castell,"R$8
00",Amazon,3,8,2023
Lápis Técnico Preto Regent 9000-5B Faber-Castell,"R$10
47",Amazon,3,8,2023
"Grafite Hb 0.9mm Blister C/2 Tubos Leo&leo Leonora, Preto","R$10
47",Amazon,3,8,2023
"Lápis Grafite HB, Maped, Tatoo, 850056, 6 unidades, Cores Sortidas","R$10
99",Amazon,3,8,2023
"Lápis Grafite Nº 2B Triangular, Faber-Castell, SM/2001CRA, EcoLápis, Linha Grip, 3 Unidades","R$4
40",Amazon,3,8,2023
"Grafites Minas 0.9mm HB, Pentel, com 1 Tubo","R$4
50",Amazon,3,8,2023
"Lápis Grafite HB, Maped, Black Peps Jumbo, 854021, Multicor, 1 Unidade","R$4
50",Amazon,3,8,2023
"Tempaky 6pcs Lápis Eterno, Lápis Sem Tinta Eterno com 6pcs Nibs de Substituição, Lápis Infinito Lápis Mágicos, Lápis de Escrita Reutilizável e Apagável Portátil, para Escrever Arte Esboço Ferramenta d","R$45
99",Amazon,3,8,2023
"Apontador de lápis manual com recipiente para cinzas, apontador de lápis de plástico com manivela de mesa, fácil de usar e transportar，LIANLI (R标备案，跟卖后果自负)(Rosa)","R$97
00",Amazon,3,8,2023
Henniu 12 Pçs HB Conjunto de Lápis de Escrita Núcleo de Grafite Desenho Esboço Notas Para Estudantes Iniciantes E Artistas,"R$41
59",Amazon,3,8,2023
"Lápis Preto Nº 2 Sextavado, Tilibra, Acádemie, 4 Unidades","R$4
53",Amazon,3,8,2023
"Artools - Lapis Preto Graphite, 9B, 1Unidade","R$4
58",Amazon,3,8,2023
"Lapis Preto Graduacao, 4B, 1 pacote x 6 unidades, Artools","R$4
58",Amazon,3,8,2023
"Lápis Preto HB CIS BE HAPPY c/borracha no topo, Blister c/4 unidades","R$4
66",Amazon,3,8,2023
"Grafite fino 0,5mm 2B (Primeira Linha) 12 grafites - Pentel","R$11
63",Amazon,3,8,2023
"STAEDTLER Lápis grafite, Redondo HB, caixa com 12 un - 171 HB-3, Multicolorido, 12 Contagem (Pacote de 1)","R$9
50",Amazon,3,8,2023
"Lápis Grafite Nº 2HB Redondo e Apontador, CIS, Preto, 6 Unidades","R$4
80",Amazon,3,8,2023
Grafite – STABILO – Pacote com 1 unidade – 0.7 HB,"R$4
84",Amazon,3,8,2023
"Grafite, CIS, Big Tree 189.1101, Blister com 2 unidades","R$4
86",Amazon,3,8,2023
"Grafite 0,5mm HB (Primeira Linha) 12 grafites - Pentel","R$4
90",Amazon,3,8,2023
Grafite 2.0mm HB Tubo c/ 6 grafites cada - BRW,"R$4
90",Amazon,3,8,2023
Grafite 2.0mm 2B Tubo c/ 6 grafites cada - BRW,"R$4
90",Amazon,3,8,2023
Lápis Grafite Graduado Castell 9000 Faber-Castell 2B,"R$8
00",Amazon,3,8,2023
Lápis Swano Rosa Pastel com Borracha Hb Stabilo,"R$9
99",Amazon,3,8,2023
"Grafite 0.7 Hb 9127, 12 Minas, Faber-Castell","R$10
00",Amazon,3,8,2023
"Lápis Preto BIC Evolution, Grafite Nº2HB, com Corpo Preto Hexagonal, 4 Unidades, 904328, Seguro Para Crianças","R$5
00",Amazon,3,8,2023
Mina Grafite Stabilo Hi-Polymer Long 0.5 mm HB 3205/12,"R$5
10",Amazon,3,8,2023
"Lápis preto HB CIS Fantasia Pets, Blister com 1 unidade borracha sortida (Não é possível escolher o modelo)","R$5
16",Amazon,3,8,2023
"Lápis Plástico Preto Nº 2HB, BIC Evolution Pijama, Corpo Hexagonal Listrado em Cores Divertidas, 891672, 3 Unidades","R$5
20",Amazon,3,8,2023
"Lápis Grafite Nº 2B Redondo, Faber-Castell, SM1205MED, EcoLápis Max, 4 Unidades","R$5
30",Amazon,3,8,2023
Lápis Swano Verde Pastel com Borracha Hb Stabilo,"R$9
99",Amazon,3,8,2023
Lápis Grafite Artools HB 688961,"R$11
80",Amazon,3,8,2023
"Lápis Grafite Nº 2B Redondo, Faber-Castell, SM/935GLIN, EcoLápis Glitiz, 4 Unidades","R$16
16",Amazon,3,8,2023
Lápis Preto Com Borracha - Collection Disco - Hb - Cart C/4 Un - Tris,"R$5
55",Amazon,3,8,2023
"Lápis Grafite Black Peps Deco HB 2, 3 unidades, 850018, Mape"," 5,10",Kalunga,3,8,2023
Lápis Grafite EcoLápis n.2 B Max Colors Faber-Castell BT 4 U," 5,30",Kalunga,3,8,2023
"Lápis Grafite EcoLápis n.2 B Neon Faber-Castell BT 4 UN
(5)
"," 5,80",Kalunga,3,8,2023
Lápis Grafite Redondo EcoLápis n.2 B Metallic Faber-Castell ," 5,80",Kalunga,3,8,2023
Lápis Grafite Redondo EcoLápis n.2 B Pérola Faber-Castell BT," 5,80",Kalunga,3,8,2023
Lápis Grafite Redondo EcoLápis n.2 B Max Preto Faber-Castell," 6,10",Kalunga,3,8,2023
"Lápis Preto BIC Evolution, Grafite Nº 2HB, Com Corpo Verde R"," 6,30",Kalunga,3,8,2023
"Lápis Grafite Black Peps Deco HB 2, com borracha, 3 unidades"," 6,80",Kalunga,3,8,2023
Lápis Grafite Redondo EcoLápis n.2 B Glitiz Faber-Castell CX," 7,00",Kalunga,3,8,2023
Lápis Grafite Triangular EcoLápis n.2 B Eco Grip 2001 Faber-," 7,00",Kalunga,3,8,2023
Lápis Grafite Triangular EcoLápis n.2 B Eco Grip 2001 Faber-," 7,00",Kalunga,3,8,2023
Lápis Grafite Triangular EcoLápis n.2 B Eco Grip 2001 Faber-," 7,10",Kalunga,3,8,2023
Lápis Grafite Triangular EcoLápis Jumbo n.2 HB Faber-Castell," 8,40",Kalunga,3,8,2023
"Lápis Preto BIC Evolution, Grafite Nº 2HB, Com Borracha, Cor"," 8,60",Kalunga,3,8,2023
"Lápis Preto BIC Evolution, Corpo Verde Hexagonal, Grafite HB"," 8,70",Kalunga,3,8,2023
"Lápis Grafite Redondo EcoLápis n.2 B Faber-Castell CX 12 UN
"," 9,00",Kalunga,3,8,2023
Kit Lápis Grafite 2 EcoLápis n.2 B Eco Grip 2001 Preto + Apo," 9,20",Kalunga,3,8,2023
"Lápis Preto BIC Evolution, Corpo Verde, Redondo com Borracha"," 9,60",Kalunga,3,8,2023
Lápis Grafite EcoLápis Castell 9000 2B/6B/8B Sextavado Faber," 9,70",Kalunga,3,8,2023
"Lápis Preto BIC Evolution, Corpo Hexagonal, Sem Borracha, Gr","10,10",Kalunga,3,8,2023
"Lápis Preto BIC Evolution, Corpo Verde Redondo, Grafite HB2,","10,10",Kalunga,3,8,2023
Lápis Grafite Redondo EcoLápis n.2 B com Borracha Faber-Cast,"11,90",Kalunga,3,8,2023
Lápis Grafite Redondo EcoLápis Max n.2 B Com Borracha Faber-,"12,20",Kalunga,3,8,2023
Kit Lápis Grafite 2 EcoLápis n.2 B Eco Grip 2001 Preto + Apo,"16,80",Kalunga,3,8,2023
Kit Lápis Grafite 2 EcoLápis n.2 B Eco Grip 2001 Rosa + Apon,"16,80",Kalunga,3,8,2023
Lápis Grafite EcoLápis Castell 9000 6B Sextavado Faber-Caste,"16,90",Kalunga,3,8,2023
Lápis Grafite EcoLápis Castell 9000 HB/2B/4B/6B Sextavado Fa,"18,30",Kalunga,3,8,2023
Lápis Grafite Triangular EcoLápis n.2 B Grip Rosa Faber-Cast,"19,40",Kalunga,3,8,2023
Lápis Grafite EcoLápis n.2 B Eco Grip Triangular 2001 Faber-,"19,40",Kalunga,3,8,2023
Lápis Grafite Triangular EcoLápis n.2 B Eco Grip 2001 Faber-,"19,40",Kalunga,3,8,2023
Lápis Grafite Triangular EcoLápis n.2 B Eco Grip 2001 Faber-,"19,40",Kalunga,3,8,2023
Lápis Grafite Triangular EcoLápis n.2 B Eco Grip 2001 Faber-,"19,40",Kalunga,3,8,2023
Lápis Grafite Triangular EcoLápis n.2 B Eco Grip 2001 Preto ,"19,40",Kalunga,3,8,2023
"Lápis Grafite Triangular Sparkle, Azul n.2 B, Faber-Castell ","21,90",Kalunga,3,8,2023
"Lápis Grafite Triangular Sparkle, Lilás n.2 B, Faber-Castell","21,90",Kalunga,3,8,2023
"Lápis Grafite Triangular Sparkle, Rosa n.2 B, Faber-Castell ","21,90",Kalunga,3,8,2023
Lápis Grafite EcoLápis Castell 9000 8B Sextavado Faber-Caste,"37,30",Kalunga,3,8,2023
Lápis Grafite EcoLápis Castell 9000 2B Sextavado Faber-Caste,"37,30",Kalunga,3,8,2023
Lápis Grafite EcoLápis Castell 9000 4B Sextavado Faber-Caste,"37,30",Kalunga,3,8,2023
Lápis Grafite EcoLápis Castell 9000 6B Sextavado Faber-Caste,"37,30",Kalunga,3,8,2023
"Lápis Preto BIC Evolution, Corpo Preto Hexagonal, Grafite HB","54,40",Kalunga,3,8,2023
"Lápis Preto BIC Evolution, Corpo Verde Hexagonal, Grafite HB","61,60",Kalunga,3,8,2023
"Lápis Preto BIC Evolution, Corpo Verde Redondo, Grafite HB2,","61,60",Kalunga,3,8,2023
"Lápis Preto Tabuada, Faber-Castell","R$8
26",Amazon,4,8,2023
Grafite 0.7MM HB TB C/12 Minas Leo & Leo,"R$1
15",Amazon,4,8,2023
Grafite 2.0 HB com 8 unidades - Leo&Leo,"R$1
38",Amazon,4,8,2023
Lápis Grafite HB com Borracha Good Vibes Jocar Office Coral,"R$1
95",Amazon,4,8,2023
Lápis Grafite HB com Borracha Good Vibes Jocar Office Rosa,"R$1
99",Amazon,4,8,2023
"Lápis Grafite Triangular Nº2B, Faber-Castell, 2001B, Ecolápis, Linha Grip, Cinza, 12 Unidades","R$13
53",Amazon,4,8,2023
"Grafite 0.9mm Hb 12 Minas Bigtree - Caixa com 1 Unidade, Sertic, 189.1100, Multicor","R$9
54",Amazon,4,8,2023
"Grafite Hb 0.5mm Blister C/2 Tubos Blister Leo&leo Leonora, Preto","R$2
80",Amazon,4,8,2023
LAPIS GRAFITE 6B FABER CASTELL,"R$7
99",Amazon,4,8,2023
Mina de Grafite Hb 0.5mm 12 Minas Blister C/ 2 Tubos Keep - EI124,"R$2
90",Amazon,4,8,2023
"Lápis Preto Nº 2HB Redondo, CIS, 4 Unidades","R$3
20",Amazon,4,8,2023
"Lápis Triangular 2B, Faber-Castell, EcoLápis Eco Grip 2001, SM/2001WAP, Preto, 3 Unidades","R$7
10",Amazon,4,8,2023
Lápis Técnico Preto Regent 9000-5B Faber-Castell,"R$10
47",Amazon,4,8,2023
"Grafite Hb 0.9mm Blister C/2 Tubos Leo&leo Leonora, Preto","R$10
47",Amazon,4,8,2023
Lápis Grafite Sextavado Faber-Castell 9000 2H - Ref. 90002H,"R$8
60",Amazon,4,8,2023
Lápis Preto 4B Castell 9000 Faber Castell,"R$8
00",Amazon,4,8,2023
"Lápis Grafite HB, Maped, Tatoo, 850056, 6 unidades, Cores Sortidas","R$10
99",Amazon,4,8,2023
