Produto,Preco,Site,Dia,Mes,Ano
"Borracha Branca Macia, Mercur, Record 40, 3 unidades","R$2
50",Amazon,3,8,2023
"Borracha Branca, Mercur, Record 20, 2 Unidades","R$3
99",Amazon,3,8,2023
"Tesoura Escolar Lâmina Inox Cores Sortidas 13.5 cm C/4 Cores, Bee Unique, DS-SO0003","R$4
05",Amazon,3,8,2023
TESOURA ESCOLAR PUMAX MISTA MUNDIAL 900M-4.1/8,"R$4
06",Amazon,3,8,2023
"Tesoura Escolar Lâmina Inox Cores Sortidas 13 cm C/ 4 Cores, DS-SO0002","R$4
87",Amazon,3,8,2023
Borracha Faber Castell Super Soft Preta,"R$11
63",Amazon,3,8,2023
"Borracha, Trident, Soft-Pb, Branca, Pequena","R$5
50",Amazon,3,8,2023
"Tesoura Escolar C/Lâmina Inox Adesivada 11.5 cm C/2 Cores, DS-SO0038","R$5
78",Amazon,3,8,2023
Tesoura Escolar Lefty - Para Canhoto - 13Cm - Cart C/1 Un - Tris,"R$5
83",Amazon,3,8,2023
"Borracha Branca, Faber-Castell, Dust Free, SM/187137, 2 Unidades",Mais vendido,Amazon,3,8,2023
Tesoura Escolar Neon 13cm com régua - BRW - 1-un COR:LARANJA,"R$5
90",Amazon,3,8,2023
TESOURA ESCOLAR MISTA MUNDIAL 167M 4.1/2,"R$18
99",Amazon,3,8,2023
TESOURA ESCOLAR PRETA  MUNDIAL 167BK 4.1/2,"R$18
99",Amazon,3,8,2023
"Tramontina 25900/144, Tesoura Escolar, sem Ponta 4 Pol 10 cm, Multicor","R$21
30",Amazon,3,8,2023
"Tesoura de Arremate, Kit, Metal, 9 cm, Cores Sortidas","R$19
30",Amazon,3,8,2023
Tesoura Escolar Inox Monstercort 72 Peças Coloridas 25999409,"R$458
18",Amazon,3,8,2023
"Tesoura Escolar sem Ponta 13cm, Maped, Essential, 464260, Preto","R$12
46",Amazon,3,8,2023
"Tesoura Escolar de Picotar Zig Zag 13cm, BRW","R$6
90",Amazon,3,8,2023
"Tesoura Escolar 5 1/4""-13,5Cm, Brinox","R$12
19",Amazon,3,8,2023
